name,description,module,path
"gdd","Game Design Document workflow for all game project levels - from small prototypes to full AAA games. Generates comprehensive GDD with game mechanics, systems, progression, and implementation guidance.","dxm",".dexCore/dxm/workflows/2-plan/gdd/workflow.yaml"
"narrative","Narrative design workflow for story-driven games and applications. Creates comprehensive narrative documentation including story structure, character arcs, dialogue systems, and narrative implementation guidance.","dxm",".dexCore/dxm/workflows/2-plan/narrative/workflow.yaml"
"prd","Scale-adaptive PRD workflow for project levels 1-4. Level 1-2: focused PRD + solutioning handoff. Level 3-4: full PRD with epics + architect handoff. Automatically adjusts scope based on project complexity.","dxm",".dexCore/dxm/workflows/2-plan/prd/workflow.yaml"
"tech-spec-sm","Technical specification workflow for Level 0 projects (single atomic changes). Creates focused tech spec for bug fixes, single endpoint additions, or small isolated changes. Tech-spec only - no PRD needed.","dxm",".dexCore/dxm/workflows/2-plan/tech-spec/workflow.yaml"
"ux-spec","UX/UI specification workflow for defining user experience and interface design. Creates comprehensive UX documentation including wireframes, user flows, component specifications, and design system guidelines.","dxm",".dexCore/dxm/workflows/2-plan/ux/workflow.yaml"
"plan-project","Scale-adaptive project planning workflow for all project levels (0-4). Automatically adjusts outputs based on project scope - from single atomic changes (Level 0: tech-spec only) to enterprise platforms (Level 4: full PRD + epics). Level 2-4 route to 3-solutioning workflow for architecture and tech specs. Generates appropriate planning artifacts for each level.","dxm",".dexCore/dxm/workflows/2-plan/workflow.yaml"
"tech-spec","Generate a comprehensive Technical Specification from PRD and Architecture with acceptance criteria and traceability mapping","dxm",".dexCore/dxm/workflows/3-solutioning/tech-spec/workflow.yaml"
"solution-architecture","Scale-adaptive solution architecture generation with dynamic template sections. Replaces legacy HLA workflow with modern DEX Core compliance.","dxm",".dexCore/dxm/workflows/3-solutioning/workflow.yaml"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","dxm",".dexCore/dxm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Create the next user story markdown from epics/PRD and architecture, using a standard template and saving to the stories folder","dxm",".dexCore/dxm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","dxm",".dexCore/dxm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","dxm",".dexCore/dxm/workflows/4-implementation/retrospective/workflow.yaml"
"review-story","Perform a Senior Developer Review on a completed story flagged Ready for Review, leveraging story-context, epic tech-spec, repo docs, MCP servers for latest best-practices, and web search as fallback. Appends structured review notes to the story.","dxm",".dexCore/dxm/workflows/4-implementation/review-story/workflow.yaml"
"story-context","Assemble a dynamic Story Context XML by pulling latest documentation and existing code/library artifacts relevant to a drafted story","dxm",".dexCore/dxm/workflows/4-implementation/story-context/workflow.yaml"
"testarch-atdd","Generate failing acceptance tests before implementation.","dxm",".dexCore/dxm/workflows/testarch/atdd/workflow.yaml"
"testarch-automate","Expand automation coverage after implementation.","dxm",".dexCore/dxm/workflows/testarch/automate/workflow.yaml"
"testarch-ci","Scaffold or update the CI/CD quality pipeline.","dxm",".dexCore/dxm/workflows/testarch/ci/workflow.yaml"
"testarch-framework","Initialize or refresh the test framework harness.","dxm",".dexCore/dxm/workflows/testarch/framework/workflow.yaml"
"testarch-gate","Record the quality gate decision for the story.","dxm",".dexCore/dxm/workflows/testarch/gate/workflow.yaml"
"testarch-nfr","Assess non-functional requirements before release.","dxm",".dexCore/dxm/workflows/testarch/nfr-assess/workflow.yaml"
"testarch-plan","Plan risk mitigation and test coverage before development.","dxm",".dexCore/dxm/workflows/testarch/test-design/workflow.yaml"
"testarch-trace","Trace requirements to implemented automated tests.","dxm",".dexCore/dxm/workflows/testarch/trace/workflow.yaml"
"design-thinking","Guide human-centered design processes using empathy-driven methodologies. This workflow walks through the design thinking phases - Empathize, Define, Ideate, Prototype, and Test - to create solutions deeply rooted in user needs.","dis",".dexCore/dis/workflows/design-thinking/workflow.yaml"
"innovation-strategy","Identify disruption opportunities and architect business model innovation. This workflow guides strategic analysis of markets, competitive dynamics, and business model innovation to uncover sustainable competitive advantages and breakthrough opportunities.","dis",".dexCore/dis/workflows/innovation-strategy/workflow.yaml"
"problem-solving","Apply systematic problem-solving methodologies to crack complex challenges. This workflow guides through problem diagnosis, root cause analysis, creative solution generation, evaluation, and implementation planning using proven frameworks.","dis",".dexCore/dis/workflows/problem-solving/workflow.yaml"
"storytelling","Craft compelling narratives using proven story frameworks and techniques. This workflow guides users through structured narrative development, applying appropriate story frameworks to create emotionally resonant and engaging stories for any purpose.","dis",".dexCore/dis/workflows/storytelling/workflow.yaml"
"analyze-website","Analyze website structure for test automation planning","dxm",".dexCore/dxm/workflows/4-testing/analyze-website/workflow.yaml"
"generate-test-framework","Generate complete test automation framework from website analysis","dxm",".dexCore/dxm/workflows/4-testing/generate-test-framework/workflow.yaml"
"quick-generate","Quick test framework generation with smart defaults","dxm",".dexCore/dxm/workflows/4-testing/quick-generate/workflow.yaml"
"create-skill","Create a new GitHub Copilot Skill with proper structure and lazy-loading design","dxb",".dexCore/dxb/workflows/create-skill/workflow.yaml"
